title,company name,company location,url,skills
Senior Solutions Engineer,Synopsys,"Hyderabad, Telangana",https://in.indeed.com/viewjob?jk=e913a66ed0943c22&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"45313BR INDIA - Hyderabad Job Description and Requirements At Synopsys, we’re at the heart of the innovations that change the way we work and play. Self…"
Associate Digital Electronics Design and Analysis Engineer,BOEING,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=1df8b6833b065f92&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…"
Embedded Systems Software Engineer,VconnecTech systems Pvt Ltd,"Hyderabad, Telangana",https://in.indeed.com/viewjob?jk=97b31f4b77cf5dd5&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"We are recruiting for talented Embedded Software Engineers in our Product Development Division at different levels. As a growing team, we will consider…"
IT Security Operations Engineer,Vtiger systems India Pvt ltd,"Rajajinagar, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=747c64737a7933cf&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,Job description Information Security - Who We Are ? The Information Security (InfoSec) team advances the overall state of security at Vtiger through…
Manager 2 Development,Intuit,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=9e232ad18e97682d&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Overview Intuit is the global leader in financial management software where we have pioneered the shift to Virtual Platforms, cloud computing for consumers,…"
MCA Internship,Techciti Technologies Private Limited,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=cb103ccb63d030ad&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,Hiring MCA Interns Interns on a day to day basis will be responsible for following : -Working on the project (Both Front-end and Back-end) -Working on any…
Python Project Development Intern,Teksands,"Remote in Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=734008992c69910e&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Position: Python Project Development Intern Skills Required: Python, REST API, JavaScript, MySQL Employment Type: Part Time Location: Bengaluru Job Mode: Work…"
Senior Software Engineer,ikt software solutions,"Mohali, Punjab",https://in.indeed.com/viewjob?jk=9c51bb7bc7a11f8b&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,Senior Software Developers with minimal 5 years of experience for the following positions Full Stack Developer * PHP with Laravel framework + REACT JS * …
R/ Python Engineer,NielsenIQ,"Pune, Maharashtra",https://in.indeed.com/viewjob?jk=68b30c40be3f9fd4&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Job Description Engineer (Mid) - Pune REF25855W The #NielsenIQ technology teams are working on building a unified, global, open data ecosystem powered by…"
DevOps Security Product Owner,Dell Technologies,"Hybrid remote in Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=b534c1b2334998ec&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Product Owner/Product Manager, DevOps Security The Dell Security & Resiliency organization manages security risk across all aspects of Dell’s business. We…"
Junior Python Developer,NetArt,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=a9b8b1a77594b01b&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"About the job We are looking for a skilled Python developer to join our team. In this role, you will be responsible for building and maintaining our backend…"
Full Stack Python Intern,JALA Academy,"Hyderabad, Telangana",https://in.indeed.com/viewjob?jk=85640ab72aa8c6a0&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"1. Basic Knowledge in Python, SQL, HTML and Sql. 2. Should be willing to learn new technologies. 3. Completing the tasks given. 4. Internship is completely…"
Python Developer,Quantsapp Private Limited,"Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=947c80af3a24e8df&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Company Summary Quantsapp is India's first Option Trading Analytics platform on mobile. With ever-growing users, it makes us one of the fastest growing…"
Python Developer,Zoof Software Solutions Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=1bb390984b010ada&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Responsibilities: * Develop, maintain, and enhance Python-based applications and microservices using frameworks like Django, Flask, or FastAPI. * Design…"
Junior Python Developer,TRINITY EMPOWERMENT,"Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=b5d6f3011a885b93&tk=1hcmgdnv4jrj2800&from=serp&vjs=3,"Job Description: Python Developer We are seeking a highly skilled and experienced Python Developer to join our dynamic team. As a Python Developer, you will…"
title,company name,company location,url,skills
Data Engineer III,Indeed4.2 ★,Hyderābād,http://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_17195b5a&cb=1698245867032&jobListingId=1008888491054&cpc=C891152315FA1AD8&jrtk=5-yul1-0-1hdjlet62i6nb800-5d8a5ec3c615e23b---6NYlbfkN0BdkRqoRBllJ3ABBfj5Fwuh4mkM_IbFmVz4qW6oqmasiKwSJy7uXCuCnXnUyLvXm10yTe9BLdEoNGdyosK9BGtOFYwqQ-mLZ89v9g9f4qjujqcAhRsJUlwUYOmf3WinzxT3dn_cYgCKgP_0Jj2ylNciVadccKbMOjcnQ6khmX-iFPnvKD8OwOH4PkI7OCcCQwz41zzIxMKS7JMxEZ0W2uHBM9Ji2nHcvCTtINEAADjZy5U3Gr6o-IEqB0p4tOI2HTSJ_m5SW6YeK3gPxrGQKzrzAUN4n0VJ6ZYQSc8-DCwrnsDA-DfMVCKIGlZq8UHgXoKROgQSW5dmXzMsZDPX5OToD66OxVwlja0MN68lvJ40bcLB3YQ9IkzzfEUg5hEMQP8cboUn4a2Hh015HZLtQCHuPgGB0SaQgXwWP_IPEM4dNL2_khTOUQri_V8REbKtSnhVM00uBrry-Ulw2iXNZqS-ogKQ1_jDlEm1mO5NzRdPqxYhQtK9geOGl9CAApmol9wxaMUa632uan82R_HRH8JOLSNuwYbPyPZweWMQd8kZvp46d2rYNkihJSiq42sOdvW9VaRW9I1j7McFoQxT7Cl0,Articulate and document best practices and design principles to mentor other developers. Total work: 3 years (Preferred).…
Consolidation Developer,London Stock Exchange Group3.9 ★,Hyderābād,http://www.glassdoor.co.in/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_5b7eea84&cb=1698245867032&jobListingId=1008843304083&cpc=F7A2269C793D5877&jrtk=5-yul1-0-1hdjlet62i6nb800-aa85a412e2605d7a---6NYlbfkN0Ay4cterl9ssKF4Fg4stOtzxvd6t4pWTtigsGFzPhjXG4LpSOuPHGV4iSMPo8aQLnHyp8OepjV3woDLUPPZjVzfNH0u_5I0kLgjrnhKAxucH2jB-j_rm2zYiA2dT-Rp-Op2j4KJoH_8b1HcGoYiysUzUBL0mRHyn6sM78zhZxDY3VUHfGm8a0y0wqmpfxRle18R_CD3Yn-hu_phxPbMRaJUf4QjIY1_LutwLxzBk78JMfFe499_8McBTmFyIIrQg9Eg78u6-fg9rrlY50Wdb_MxZaKFOCic3g6Tv_8DANS4jkNo05khFGrp9uERTHLL-nEB64JHIUgcBrtYGCoxOh2fCTiyuyx1i4WW5tmW8MsslRbY1GcAexL9A-SBgDjcVLpyKXDtmXbyEdftGaxbQIu8yrAz6iUb79RdsDrOJBAzSzKIalPEgSfY0OlXj0eLzBHyTFRg0pKx17uC_rxeUtjY9uaREY_br9r_8vJ1AfxvLVFKtK2RUaJSmCZ2lB5IDfczAfnXflnS7eS0Msg188Oc-wjc_SVCkrgOd7ZXyYGeEVUKaPyBHwxyjSf50BfBQxwpQR3biQr-c7pI5BKgE05X-deGRj-YlkA%3D,Familiarity with creating custom business rules and validations in FCC. Excellent communication skills with the ability to liaise effectively with both……
Entry-Level freshers,N/A,Nashik,http://www.glassdoor.co.in/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_edd77012&cb=1698245867032&jobListingId=1008932000640&jrtk=5-yul1-0-1hdjlet62i6nb800-4b6cb73b5a0335ec,"As an Entry-Level Back Office and Technical Associate, you will have the chance to work on a wide range of tasks and projects, providing you with valuable……"
Python Developer,N/A,Bengaluru,http://www.glassdoor.co.in/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c6b5fdfd&cb=1698245867032&jobListingId=1008944007911&jrtk=5-yul1-0-1hdjlet62i6nb800-d852d0d3e075d96b,Total work: 3 years (Required). 2+ years of experience working with Python programming. Organize the entire software development lifecycle.…
SDE Intern (2023-2024),Upstox3.7 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_24c60fcf&cb=1698245867032&jobListingId=1008940537953&jrtk=5-yul1-0-1hdjlet62i6nb800-a161b338d07a901f,"Assesses feedback and applies industry- or internal-best practices to solve technical or cognitive problems. As a hands-on Software Development Engineer, you'll……"
"Software Engineer, University Graduate, 2024",Google4.4 ★,Bengaluru,http://www.glassdoor.co.in/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_360f44fc&cb=1698245867032&jobListingId=1008864081239&jrtk=5-yul1-0-1hdjlet62i6nb800-d22fc077b09d9049,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking……"
Computer System Validation - Q3 2024,Infosys3.8 ★,Bengaluru,http://www.glassdoor.co.in/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_438235c4&cb=1698245867032&jobListingId=1008907080173&jrtk=5-yul1-0-1hdjlet62i6nb800-d16858891b446302,"Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •……"
Front End Web Developer Internship+Training,N/A,Bihār,http://www.glassdoor.co.in/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0c9fefb0&cb=1698245867032&jobListingId=1008937133572&jrtk=5-yul1-0-1hdjlet62i6nb800-721c8336dadfc80b,Collaboration: Collaborate with the design and back-end development teams to translate design mockups and wireframes into functional web pages.…
"Data Engineer, YouTube",YouTube4.4 ★,Bengaluru,http://www.glassdoor.co.in/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_f25c8cb8&cb=1698245867032&jobListingId=1008913184505&jrtk=5-yul1-0-1hdjlet62i6nb800-d7b29ec0a78d3519,"The team is responsible for shaping go-to-market priorities to accelerate growth and resource the business accordingly, enhancing skills and capabilities to……"
Software Engineer,UBS4 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_fbc69f39&cb=1698245867032&jobListingId=1008934331317&jrtk=5-yul1-0-1hdjlet62i6nb800-048858fa3e16f35f," A computer science or engineering-related education background. We offer different working arrangements like part-time, job-sharing and hybrid (office and……"
Junior Python Developer,Zoof software Solutions4.7 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c4d80b06&cb=1698245867033&jobListingId=1008944114743&jrtk=5-yul1-0-1hdjlet62i6nb800-a231d1cf343d0e28,"3-4 years of relevant experience as a python developer. Total work: 3 years (Preferred). Bachelor's degree in Computer Science, Information Technology, or……"
Desktop Support Engineer FOR General Mills India Pvt. Ltd,Dixit Infotech Services Pvt. Ltd3.9 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_c47572fe&cb=1698245867033&jobListingId=1008938736388&jrtk=5-yul1-0-1hdjlet62i6nb800-3d8c4481b3a6f9eb,"Experience of using active directory, DNS & DHCP Proven work experience as a Desktop Support Engineer/ FMS Conduct remote troubleshooting and test……"
Tax Technology Tax Tech & Transformation Executive,KPMG3.8 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_9aef3af8&cb=1698245867033&jobListingId=1008944190227&jrtk=5-yul1-0-1hdjlet62i6nb800-c618ac9d319dcfda,BE/BTech degree in IT/Computer Science or BCA or BSc degree in Computer Science or any graduation degree with Analytics Course Certifications.…
Junior Engineers(Freshers),Profiworx Technologies,Cochin,http://www.glassdoor.co.in/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_b4ddb98d&cb=1698245867033&jobListingId=1007764914573&jrtk=5-yul1-0-1hdjlet62i6nb800-7f01bdc92bb6c97c,Qualification : Graduated in Computer Science / related. Experience : Less than a year / fresher. Willingness to learn something new.…
IT Support,N/A,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e51a2095&cb=1698245867033&jobListingId=1008944164142&jrtk=5-yul1-0-1hdjlet62i6nb800-a7007c1a71ca7b39,"Identify IT-related issues proactively, investigate root causes, and recommend scalable & suitable solutions. Provide support for business applications viz.…"
Junior Software Engineer - Analytics,LoginextSolutions3.1 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2d2379b7&cb=1698245867033&jobListingId=1008136845308&jrtk=5-yul1-0-1hdjlet62i6nb800-b6cd472c1206cb3b,"Bachelor’s degree or higher in Engineering in one of these domains - Computer Science, Information Technology, Information Systems, or related field from top……"
Software Engineer,N/A,Remote,http://www.glassdoor.co.in/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ea1664db&cb=1698245867033&jobListingId=1008941563138&jrtk=5-yul1-0-1hdjlet62i6nb800-5299a9bb36d5243d,"As a Software Developer, you will be an integral part of our agile development process, contributing to the design, implementation, testing, and maintenance of……"
JUNIOR WEB DEVELOPER,GoDigi InfoTech,Pune,http://www.glassdoor.co.in/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_a38e75b5&cb=1698245867033&jobListingId=1008877218880&jrtk=5-yul1-0-1hdjlet62i6nb800-0f9b5592480f9ab8,"Java, HTML 5, CSS 3, jQuery, Angular 8, SQL Server, Oracle, MySql, Spring, Python, PostgreSQL , Reactjs , MongoDB, Node.js, Django, Git, SVN,.…"
Python Developer (MEAS),Mercedes-Benz Research and Development India Private Limited4.1 ★,Bengaluru,http://www.glassdoor.co.in/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_b67f3c26&cb=1698245867033&jobListingId=1008932460693&jrtk=5-yul1-0-1hdjlet62i6nb800-ade10c1928a685df,3 to 5 years of experience in Python for Development & Testing 2. Experience in hardware in Loop Environment 3. Experience working with Capel Script 6.…
Software Engineer Trainee,N/A,Remote,http://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_32f5d77e&cb=1698245867033&jobListingId=1008929688419&jrtk=5-yul1-0-1hdjlet62i6nb800-958d958d1c040e79,"Develops information systems by designing, developing, and installing software solutions;*. Develops software solutions by studying information needs,……"
HTML Developer,Zoof Software Solutions Pvt. Ltd.4.7 ★,Mumbai,http://www.glassdoor.co.in/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8641656e&cb=1698245867033&jobListingId=1008915382435&jrtk=5-yul1-0-1hdjlet62i6nb800-a427087f05e1836b,"Bachelor's degree in computer science, computer engineering, MIS, or similar. At least 4+ years' experience as an HTML Developer.…"
Data Quality Analytics Developer,RARR Technologies Pvt Ltd4.7 ★,Remote,http://www.glassdoor.co.in/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_05eed89f&cb=1698245867034&jobListingId=1008944215790&jrtk=5-yul1-0-1hdjlet62i6nb800-757b393cabde4eff,"As a Data Quality Analytics Developer, you will play a pivotal role in ensuring the accuracy, consistency, and reliability of our data.…"
IRT programmer -Entry level,"Medpace, Inc.3.3 ★",Thāne,http://www.glassdoor.co.in/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018b67577484ba421743d364f910&src=GD_JOB_AD&t=SR&vt=w&cs=1_10c734f4&cb=1698245867034&jobListingId=1008454665030&jrtk=5-yul1-0-1hdjlet62i6nb800-7821dc0ebd773a3c,Medpace is a full-service clinical contract research organization (CRO). This position plays a key role in the clinical trial management process at Medpace.…
